BLOCK,TRACT,CCA,TR_POP_RAT,TR_HH_RAT,TR_HU_RAT
170310101002002,17031010100,Rogers Park,0.074783684,0.067767159,0.062881098
170310101002007,17031010100,Rogers Park,0.029460239,0.019548219,0.01714939
170310101002012,17031010100,Rogers Park,0.024721879,0.018679409,0.017530488
170310101001000,17031010100,Rogers Park,0.026370004,0.029973936,0.032012195
170310101002000,17031010100,Rogers Park,0.03131438,0.026933102,0.032012195
170310101001003,17031010100,Rogers Park,0.069015245,0.066463944,0.066310976
170310101002003,17031010100,Rogers Park,0.008652658,0.009991312,0.009908537
170310101001002,17031010100,Rogers Park,0.009270705,0.009556907,0.009527439
170310101003007,17031010100,Rogers Park,0.03749485,0.022154648,0.021341463
170310101002010,17031010100,Rogers Park,0.030696333,0.030408341,0.029344512
170310101003008,17031010100,Rogers Park,0.039555006,0.043006082,0.041920732
170310101003004,17031010100,Rogers Park,0.059950556,0.085143354,0.091082317
170310101001001,17031010100,Rogers Park,0.014627112,0.009991312,0.011051829
170310101003003,17031010100,Rogers Park,0.030490317,0.042571677,0.041920732
170310101003009,17031010100,Rogers Park,0.023485785,0.025629887,0.026676829
170310101002013,17031010100,Rogers Park,0.062216728,0.066463944,0.063643293
170310101002006,17031010100,Rogers Park,0.039761022,0.037358818,0.036204268
170310101002009,17031010100,Rogers Park,0,0,0.000381098
170310101003012,17031010100,Rogers Park,0.007210548,0.009991312,0.011051829
170310101003010,17031010100,Rogers Park,0.031520396,0.037358818,0.041539634
170310101002005,17031010100,Rogers Park,0.031108364,0.025195482,0.02820122
170310101002001,17031010100,Rogers Park,0.009270705,0.010425717,0.009908537
170310101002008,17031010100,Rogers Park,0.05644829,0.054735013,0.050685976
170310101002011,17031010100,Rogers Park,0.045941492,0.036490009,0.040015244
170310101003000,17031010100,Rogers Park,0.055212196,0.069504778,0.062881098
170310101002004,17031010100,Rogers Park,0.031726411,0.034317984,0.040777439
170310101003005,17031010100,Rogers Park,0.035846724,0.041702867,0.039253049
170310101003011,17031010100,Rogers Park,0.048619695,0.043006082,0.040777439
170310101003006,17031010100,Rogers Park,0.035228677,0.025629887,0.024009146
170310102012017,17031010201,Rogers Park,0.019689922,0.021924482,0.019381163
170310102011008,17031010201,Rogers Park,0.021395349,0.0227365,0.021421285
170310102012021,17031010201,Rogers Park,0.016124031,0.01908242,0.027541652
170310102012012,17031010201,Rogers Park,0.011782946,0.017864393,0.018021081
170310102012040,17031010201,Rogers Park,0.038139535,0.038570849,0.045562734
170310102012024,17031010201,Rogers Park,0.058604651,0.045879009,0.043522611
170310102013004,17031010201,Rogers Park,0.024341085,0.02679659,0.026181571
170310102012022,17031010201,Rogers Park,0.004031008,0.004466098,0.003740224
170310102012034,17031010201,Rogers Park,0.01627907,0.018676411,0.019381163
170310102011000,17031010201,Rogers Park,0.021860465,0.017864393,0.015980959
170310102011005,17031010201,Rogers Park,0.016589147,0.017458384,0.021761306
170310102013001,17031010201,Rogers Park,0.007906977,0.014616322,0.015300918
170310102012030,17031010201,Rogers Park,0.027131783,0.03045067,0.029581775
170310102012027,17031010201,Rogers Park,0.017984496,0.01502233,0.012920775
170310102012035,17031010201,Rogers Park,0.01627907,0.016240357,0.020061204
170310102012006,17031010201,Rogers Park,0.002945736,0.001218027,0.001360082
170310102012000,17031010201,Rogers Park,0.00620155,0.008120179,0.007480449
170310102013010,17031010201,Rogers Park,0.017364341,0.01502233,0.014620877
170310102011013,17031010201,Rogers Park,0.010387597,0.013804304,0.014280857
170310102011010,17031010201,Rogers Park,0.020775194,0.019488429,0.019041142
170310102012028,17031010201,Rogers Park,0.005426357,0.006902152,0.006120367
170310102012014,17031010201,Rogers Park,0.013643411,0.018676411,0.01700102
170310102011011,17031010201,Rogers Park,0.00496124,0.004466098,0.003740224
170310102012004,17031010201,Rogers Park,0,0,0
170310102013009,17031010201,Rogers Park,0.004341085,0.00365408,0.005100306
170310102013000,17031010201,Rogers Park,0.024031008,0.03045067,0.029921795
170310102012008,17031010201,Rogers Park,0.017209302,0.018676411,0.018021081
170310102012003,17031010201,Rogers Park,0.011472868,0.010556232,0.012920775
170310102012005,17031010201,Rogers Park,0,0,0
170310102011009,17031010201,Rogers Park,0.006511628,0.006902152,0.005780347
170310102012015,17031010201,Rogers Park,0.064031008,0.041006902,0.037402244
170310102011001,17031010201,Rogers Park,0.011472868,0.010962241,0.010540632
170310102012039,17031010201,Rogers Park,0.004031008,0.005278116,0.004420265
170310102012033,17031010201,Rogers Park,0.012403101,0.018676411,0.022781367
