"CCA","Ind.Count.Total","Ind.Count.Total.5..","Ind.Count.Total.95..","HH.Count.Total","HH.Count.Total.5..","HH.Count.Total.95..","Ind25.Count.Total","Ind25.Count.Total.5..","Ind25.Count.Total.95..","LF.Count.Total","LF.Count.Total.5..","LF.Count.Total.95..","Ind.Count.White","Ind.Count.White.5..","Ind.Count.White.95..","Ind.Count.BlackAA","Ind.Count.BlackAA.5..","Ind.Count.BlackAA.95..","Ind.Count.Hispanic","Ind.Count.Hispanic.5..","Ind.Count.Hispanic.95..","Ind.Count.100FPL","Ind.Count.100FPL.5..","Ind.Count.100FPL.95..","LF.Count.Employed","LF.Count.Employed.5..","LF.Count.Employed.95..","LF.Count.Unemployed","LF.Count.Unemployed.5..","LF.Count.Unemployed.95..","Ind25.Count.LessThanHS","Ind25.Count.LessThanHS.5..","Ind25.Count.LessThanHS.95..","Ind25.Count.HSGrad","Ind25.Count.HSGrad.5..","Ind25.Count.HSGrad.95..","Ind25.Count.Bachelors","Ind25.Count.Bachelors.5..","Ind25.Count.Bachelors.95.."
"ALBANY PARK",52079,46036.5377096245,58121.4622903755,50477,44915.4949099671,56038.5050900329,34545,30894.3248680852,38195.6751319148,29229,25294.350138569,33163.649861431,28931,23159.5135958882,34702.4864041118,2291,824.130534505891,3757.86946549411,25003,19554.484855162,30451.515144838,50390,44826.4950879283,55953.5049120717,26686,22992.32869425,30379.67130575,2543,1265.11371717691,3820.88628282309,8333,5711.23330707188,10954.7666929281,8214,5692.22440901421,10735.7755909858,10482,8453.18054158994,12510.8194584101
"ARCHER HEIGHTS",13127.0720173392,11451.0270453979,14803.1169892806,13117.0720173392,11440.0271343784,14794.1169003,7855.76288396193,6960.64445659476,8750.8813113291,6390.75097628185,5469.02058479561,7312.48136776808,7829.33024999202,6147.37957266766,9511.28092731638,126.709207948503,-35.9516573723099,289.370073269315,10013.284738071,8268.45243723323,11758.1170389087,13061.0720173392,11430.0230412719,14692.1209934065,5677.14734835464,4803.52154187058,6550.77315483871,713.603627927202,409.090595922065,1018.11665993234,2510.66521492288,1886.59375457146,3134.73667527431,2799.10649478659,2124.02248480656,3474.19050476662,878.885490451316,557.905393066324,1199.86558783631
"ARMOUR SQUARE",14319.0042222511,12961.8985082283,15676.1099362738,14308.576796796,12951.3140479992,15665.8395455928,10289.2843618877,9306.81500541606,11271.7537183593,6985.61402027837,6039.15656714197,7932.07147341477,1957.51990006332,1363.12924504217,2551.91055508448,1342.0555730136,981.63167852492,1702.47946750228,494.483078802875,110.273864530418,878.692293075332,14313.5263096759,12956.9652115176,15670.0874078341,6040.89671778981,5184.70026962089,6897.09316595872,944.717302488564,499.935016081811,1389.49958889532,3515.32696045833,2740.81629250378,4289.83762841289,3009.46289450522,2289.52552945322,3729.40025955722,2200.84903713363,1602.40887595251,2799.28919831475
"ASHBURN",42638.999899286,38763.1648865473,46514.8349120248,42025.7443318233,38175.3791490936,45876.1095145529,26690.2372493726,24584.2693283885,28796.2051703567,21696.9854015239,19024.5600580591,24369.4107449888,11843.3885219449,9218.4301845025,14468.3468593873,20839.1572616513,17662.8523547901,24015.4621685126,15449.7116724177,12573.1125587838,18326.3107860515,42066.3804970837,38214.967691549,45917.7933026184,18916.4116286653,16509.9241727314,21322.8990845991,2780.57377285867,1668.75015591093,3892.3973898064,4557.62861039763,3121.74697047953,5993.51025031573,7764.98482137646,6033.68622675803,9496.28341599489,5340.19903907043,3930.92691058693,6749.47116755393
"AUBURN GRESHAM",46065.1171626825,40661.5964845818,51468.6378407832,45942.9661462585,40559.8699081149,51326.062384402,30804.7688110484,27406.8780427955,34202.6595793013,19791.9749342144,16652.5427661188,22931.40710231,442.068884927764,-90.2856185476261,974.423388403154,44762.5912049487,39400.7989994396,50124.3834104578,700.07618678724,-175.794221373448,1575.94659494793,45882.1700040994,40511.8318684649,51252.5081397339,14844.3957861439,12170.7400455193,17518.0515267685,4947.57914807052,3103.03791383985,6792.12038230119,5377.94406635105,3530.94479846637,7224.94333423573,10382.4696901928,7931.12261834713,12833.8167620384,4297.5508718909,2836.53592164244,5758.56582213935
"AUSTIN",97684.7399468002,85640.385374937,109729.094518663,96536.6773587858,84596.3072746981,108477.047442873,61792.7945548427,54581.9202015194,69003.6689081661,41371.5121264278,34792.7317352487,47950.2925176069,7979.87983101236,4573.11133093704,11386.6483310877,81643.365357534,70246.4615411496,93040.2691739185,11155.5017994054,5620.96849163829,16690.0351071725,96603.7399468002,84652.3770997434,108555.102793857,33396.6942575497,27774.0102900306,39019.3782250688,7974.81786887811,4815.90354483425,11133.732192922,14130.3666092943,9950.09254081319,18310.6406777755,22731.3054295102,17429.9934268759,28032.6174321446,7687.62243780316,5099.9389268538,10275.3059487525
"AVALON PARK",9723.60325009909,8804.3139372332,10642.892562965,9718.67789668384,8799.38858381795,10637.9672095497,6999.83379574581,6373.45817119247,7626.20942029914,4446.57140969745,3814.13660707345,5079.00621232145,85.7011494252874,-10.0064124450731,181.408711295648,9494.67868939094,8578.38910958332,10410.9682691986,61.0743823490554,-20.8434170888186,142.992181786929,9703.60325009909,8783.31402621378,10623.8924739844,3446.54366494913,2905.92154024971,3987.16578964856,1000.02774474832,610.898942955331,1389.1565465413,801.878715814507,473.207078619215,1130.5503530098,1771.99524375743,1330.3491177802,2213.64136973466,1546.96644206632,1157.52441672636,1936.40846740628
"AVONDALE",39721,34875.4311998743,44566.5688001257,39642,34803.4305770102,44480.5694229898,26009,23166.2529717793,28851.7470282207,21189,18410.2472770224,23967.7527229776,33135,28174.4414326406,38095.5585673594,971,136.074298781472,1805.92570121853,24563,19569.4443689996,29556.5556310004,39469,34695.4247932728,44242.5752067273,19574,16854.2420271684,22293.7579728316,1615,858.067358296496,2371.93264170351,7214,5056.19202008433,9371.80797991567,7059,5041.17956280361,9076.8204371964,6888,5227.14779673776,8548.85220326224
"BELMONT CRAGIN",79156.7737086636,70555.3483740543,87758.1990432728,78849.0442743919,70269.6470423937,87428.4415063901,47991.5179010659,43044.5957261277,52938.4400760041,40156.7187756218,35105.1215755729,45208.3159756706,35928.9182836841,27997.6216181482,43860.21494922,2860.45258267286,850.49534298204,4870.40982236368,63348.6657556709,54304.8359528555,72392.4955584864,78698.8188029516,70179.3861719351,87218.2514339681,35423.4323585679,30570.7122407414,40276.1524763945,4733.28641705384,2767.42336772625,6699.14946638143,17861.2366766876,13769.3135738157,21953.1597795596,14029.3798852145,10794.7270379241,17264.032732505,5864.28095107953,3786.49509307823,7942.06680908082
"BEVERLY",20815,19151.1480636795,22478.8519363205,20789,19126.1479746989,22451.8520253011,14237,13231.0895144601,15242.9104855399,10814,9665.10223868253,11962.8977613175,12677,11415.1122934877,13938.8877065123,7278,5712.13934358297,8843.86065641702,1414,716.062108442476,2111.93789155752,20795,19132.1479746989,22457.8520253011,10060,8982.09592106159,11137.9040789384,754,300.040397181782,1207.95960281822,488,169.02838480394,806.971615196061,2053,1335.06388805401,2770.93611194599,7902,6923.0871119845,8880.9128880155
