"tableID","stub"
"B00001","UNWEIGHTED SAMPLE COUNT OF THE POPULATION"
"B00002","UNWEIGHTED SAMPLE HOUSING UNITS"
"B01001","SEX BY AGE"
"B01001A","SEX BY AGE (WHITE ALONE)"
"C01001A","SEX BY AGE (WHITE ALONE)"
"B01001B","SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE)"
"C01001B","SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE)"
"B01001C","SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE)"
"C01001C","SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE)"
"B01001D","SEX BY AGE (ASIAN ALONE)"
"C01001D","SEX BY AGE (ASIAN ALONE)"
"B01001E","SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)"
"C01001E","SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)"
"B01001F","SEX BY AGE (SOME OTHER RACE ALONE)"
"C01001F","SEX BY AGE (SOME OTHER RACE ALONE)"
"B01001G","SEX BY AGE (TWO OR MORE RACES)"
"C01001G","SEX BY AGE (TWO OR MORE RACES)"
"B01001H","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)"
"C01001H","SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)"
"B01001I","SEX BY AGE (HISPANIC OR LATINO)"
"C01001I","SEX BY AGE (HISPANIC OR LATINO)"
"B01002","MEDIAN AGE BY SEX"
"B01002A","MEDIAN AGE BY SEX (WHITE ALONE)"
"B01002B","MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE)"
"B01002C","MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE)"
"B01002D","MEDIAN AGE BY SEX (ASIAN ALONE)"
"B01002E","MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)"
"B01002F","MEDIAN AGE BY SEX (SOME OTHER RACE ALONE)"
"B01002G","MEDIAN AGE BY SEX (TWO OR MORE RACES)"
"B01002H","MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"B01002I","MEDIAN AGE BY SEX (HISPANIC OR LATINO)"
"B01003","TOTAL POPULATION"
"B02001","RACE"
"B02003","DETAILED RACE"
"C02003","DETAILED RACE"
"B02008","WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES "
"B02009","BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES"
"B02010","AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES"
"B02011","ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES"
"B02012","NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES"
"B02013","SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES"
"B02014","AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS"
"C02014","AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS"
"B02015","ASIAN ALONE BY SELECTED GROUPS"
"C02015","ASIAN ALONE BY SELECTED GROUPS"
"B02016","NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS"
"C02016","NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS"
"B02017","AMERICAN INDIAN AND ALASKA NATIVE (AIAN) ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS"
"B02018","ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS"
"B02019","NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS"
"B03001","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN"
"C03001","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN"
"B03002","HISPANIC OR LATINO ORIGIN BY RACE"
"C03002","HISPANIC OR LATINO ORIGIN BY RACE"
"B03003","HISPANIC OR LATINO ORIGIN"
"B04004","PEOPLE REPORTING SINGLE ANCESTRY"
"C04004","PEOPLE REPORTING SINGLE ANCESTRY"
"B04005","PEOPLE REPORTING MULTIPLE ANCESTRY"
"C04005","PEOPLE REPORTING MULTIPLE ANCESTRY"
"B04006","PEOPLE REPORTING ANCESTRY"
"C04006","PEOPLE REPORTING ANCESTRY"
"B04007","ANCESTRY"
"C04007","ANCESTRY"
"B05001","NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES"
"C05001","NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES"
"B05001PR","NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO"
"B05002","PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS"
"C05002","PLACE OF BIRTH BY NATIVITY"
"B05003","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS"
"C05003","SEX BY AGE BY NATIVITY"
"B05003A","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE)"
"B05003B","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE)"
"B05003C","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE)"
"B05003D","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (ASIAN ALONE)"
"B05003E","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)"
"B05003F","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (SOME OTHER RACE ALONE)"
"B05003G","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (TWO OR MORE RACES)"
"B05003H","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)"
"B05003I","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)"
"B05004","MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX"
"B05005","PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES"
"C05005","PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES"
"B05005PR","PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO"
"B05006","PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES"
"C05006","PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION"
"B05006PR","PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO"
"B05007","PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION"
"B05008","SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION"
"B05009","AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS"
"C05009","AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS"
"B05010","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS"
"C05010","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS"
"B05011","PERIOD OF NATURALIZATION"
"B05012","NATIVITY IN THE UNITED STATES"
"B05012PR","NATIVITY IN PUERTO RICO"
"B05013","SEX BY AGE FOR THE FOREIGN-BORN POPULATION"
"B05014","SEX BY AGE FOR THE FOREIGN-BORN POPULATION"
"B06001","PLACE OF BIRTH BY AGE IN THE UNITED STATES"
"C06001","PLACE OF BIRTH BY AGE IN THE UNITED STATES"
"B06001PR","PLACE OF BIRTH BY AGE IN PUERTO RICO"
"C06001PR","PLACE OF BIRTH BY AGE IN PUERTO RICO"
"B06002","MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES"
"B06002PR","MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO"
"B06003","PLACE OF BIRTH BY SEX IN THE UNITED STATES"
"B06003PR","PLACE OF BIRTH BY SEX IN PUERTO RICO"
"B06004A","PLACE OF BIRTH (WHITE ALONE) IN THE UNITED STATES"
"B06004B","PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN THE UNITED STATES"
"B06004C","PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN THE UNITED STATES"
"B06004D","PLACE OF BIRTH (ASIAN ALONE) IN THE UNITED STATES"
"B06004E","PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN THE UNITED STATES"
"B06004F","PLACE OF BIRTH (SOME OTHER RACE ALONE) IN THE UNITED STATES"
"B06004G","PLACE OF BIRTH (TWO OR MORE RACES) IN THE UNITED STATES"
"B06004H","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES"
"B06004I","PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES"
"B06004APR","PLACE OF BIRTH (WHITE ALONE) IN PUERTO RICO"
"B06004BPR","PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN PUERTO RICO"
"B06004CPR","PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN PUERTO RICO"
"B06004DPR","PLACE OF BIRTH (ASIAN ALONE) IN PUERTO RICO"
"B06004EPR","PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN PUERTO RICO"
"B06004FPR","PLACE OF BIRTH (SOME OTHER RACE ALONE) IN PUERTO RICO"
"B06004GPR","PLACE OF BIRTH (TWO OR MORE RACES) IN PUERTO RICO"
"B06004HPR","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO"
"B06004IPR","PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO"
"B06007","PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES"
"C06007","PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES"
"B06007PR","PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO"
"C06007PR","PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO"
"B06008","PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES"
"B06008PR","PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO"
"C06008PR","PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO"
"B06009","PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES"
"B06009PR","PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO"
"B06010","PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) IN THE UNITED STATES"
"B06010PR","PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO"
"C06010PR","PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO"
