"tableID","variableID","stub"
"B00001","B00001_001","Total "
"B00002","B00002_001","Total"
"B01001","B01001_001","Total:"
"B01001","B01001_002","Male:"
"B01001","B01001_003","Under 5 years"
"B01001","B01001_004","5 to 9 years"
"B01001","B01001_005","10 to 14 years"
"B01001","B01001_006","15 to 17 years"
"B01001","B01001_007","18 and 19 years"
"B01001","B01001_008","20 years"
"B01001","B01001_009","21 years"
"B01001","B01001_010","22 to 24 years"
"B01001","B01001_011","25 to 29 years"
"B01001","B01001_012","30 to 34 years"
"B01001","B01001_013","35 to 39 years"
"B01001","B01001_014","40 to 44 years"
"B01001","B01001_015","45 to 49 years"
"B01001","B01001_016","50 to 54 years"
"B01001","B01001_017","55 to 59 years"
"B01001","B01001_018","60 and 61 years"
"B01001","B01001_019","62 to 64 years"
"B01001","B01001_020","65 and 66 years"
"B01001","B01001_021","67 to 69 years"
"B01001","B01001_022","70 to 74 years"
"B01001","B01001_023","75 to 79 years"
"B01001","B01001_024","80 to 84 years"
"B01001","B01001_025","85 years and over"
"B01001","B01001_026","Female:"
"B01001","B01001_027","Under 5 years"
"B01001","B01001_028","5 to 9 years"
"B01001","B01001_029","10 to 14 years"
"B01001","B01001_030","15 to 17 years"
"B01001","B01001_031","18 and 19 years"
"B01001","B01001_032","20 years"
"B01001","B01001_033","21 years"
"B01001","B01001_034","22 to 24 years"
"B01001","B01001_035","25 to 29 years"
"B01001","B01001_036","30 to 34 years"
"B01001","B01001_037","35 to 39 years"
"B01001","B01001_038","40 to 44 years"
"B01001","B01001_039","45 to 49 years"
"B01001","B01001_040","50 to 54 years"
"B01001","B01001_041","55 to 59 years"
"B01001","B01001_042","60 and 61 years"
"B01001","B01001_043","62 to 64 years"
"B01001","B01001_044","65 and 66 years"
"B01001","B01001_045","67 to 69 years"
"B01001","B01001_046","70 to 74 years"
"B01001","B01001_047","75 to 79 years"
"B01001","B01001_048","80 to 84 years"
"B01001","B01001_049","85 years and over"
"B01001A","B01001A_001","Total:"
"B01001A","B01001A_002","Male:"
"B01001A","B01001A_003","Under 5 years "
"B01001A","B01001A_004","5 to 9 years "
"B01001A","B01001A_005","10 to 14 years "
