"tractID","CCA","blocks","pop","HH","pctPop","pctHH"
"17031010100","ROGERS PARK",29,2356,1299,0.949234488315874,0.965799256505576
"17031010100",NA,4,126,46,0.0507655116841257,0.0342007434944238
"17031010201","ROGERS PARK",67,3251,1443,1,1
"17031010202","ROGERS PARK",25,1437,640,1,1
"17031010300","ROGERS PARK",49,2531,1232,1,1
"17031010400","ROGERS PARK",30,2045,840,1,1
"17031010501","ROGERS PARK",24,1180,506,1,1
"17031010502","ROGERS PARK",24,1908,880,1,1
"17031010503","ROGERS PARK",30,1892,812,1,1
"17031010600","ROGERS PARK",60,3106,1283,1,1
"17031010701","ROGERS PARK",37,1492,642,1,1
"17031010702","ROGERS PARK",39,1462,618,1,1
"17031020100","WEST RIDGE",35,1832,768,1,1
"17031020200","WEST RIDGE",124,5729,2551,1,1
"17031020301","WEST RIDGE",49,2621,1297,1,1
"17031020302","WEST RIDGE",65,5689,2274,1,1
"17031020400","WEST RIDGE",54,2942,1296,1,1
"17031020500","WEST RIDGE",49,2447,1014,1,1
"17031020601","WEST RIDGE",71,3705,1950,1,1
"17031020602","WEST RIDGE",56,3285,1356,1,1
"17031020701","WEST RIDGE",54,2798,1152,1,1
"17031020702","WEST RIDGE",77,4267,1604,1,1
"17031020801","WEST RIDGE",80,4552,2180,1,1
"17031020802","WEST RIDGE",78,3792,1636,1,1
"17031020901","WEST RIDGE",44,2101,836,1,1
"17031020902","WEST RIDGE",41,2210,968,1,1
"17031030101","EDGEWATER",9,440,159,1,1
"17031030102","EDGEWATER",10,1431,709,1,1
"17031030103","EDGEWATER",10,332,131,1,1
"17031030104","EDGEWATER",11,740,341,1,1
"17031030200","EDGEWATER",73,3670,1532,1,1
"17031030300","EDGEWATER",40,2208,996,1,1
"17031030400","EDGEWATER",42,2984,1562,1,1
"17031030500","EDGEWATER",70,3823,1693,1,1
"17031030601","EDGEWATER",12,841,576,1,1
"17031030603","EDGEWATER",10,272,103,1,1
"17031030604","EDGEWATER",9,463,154,1,1
"17031030701","EDGEWATER",6,423,205,1,1
"17031030702","EDGEWATER",3,133,44,1,1
"17031030703","EDGEWATER",17,878,340,1,1
"17031030706","EDGEWATER",16,1050,501,1,1
"17031030800","EDGEWATER",62,2809,1170,1,1
"17031030900","EDGEWATER",68,2842,1361,1,1
"17031031000","UPTOWN",44,2464,1344,1,1
"17031031100","UPTOWN",26,1334,512,1,1
"17031031200","UPTOWN",28,1491,624,1,1
"17031031300","UPTOWN",28,2248,1048,1,1
"17031031400","UPTOWN",32,2244,1015,0.863741339491917,0.846538782318599
"17031031400",NA,3,354,184,0.136258660508083,0.153461217681401
"17031031501","UPTOWN",18,718,373,1,1
"17031031502","UPTOWN",18,1206,583,1,1
"17031031700","UPTOWN",38,1948,809,1,1
"17031031800","UPTOWN",17,989,499,1,1
"17031031900","UPTOWN",21,990,412,1,1
"17031032100","UPTOWN",25,1155,422,1,1
"17031040100","LINCOLN SQUARE",78,4737,2446,1,1
"17031040201","LINCOLN SQUARE",84,4009,1598,1,1
"17031040202","LINCOLN SQUARE",77,4419,2037,1,1
"17031040300","LINCOLN SQUARE",52,2546,1057,1,1
"17031040401","LINCOLN SQUARE",56,2997,1414,1,1
"17031040402","LINCOLN SQUARE",45,1624,707,1,1
"17031040600","LINCOLN SQUARE",52,2344,981,1,1
"17031040700","LINCOLN SQUARE",43,2642,1158,1,1
"17031040800","LINCOLN SQUARE",26,1226,509,1,1
"17031040900","LINCOLN SQUARE",32,1822,804,1,1
"17031050100","NORTH CENTER",40,1120,454,1,1
"17031050200","NORTH CENTER",88,3996,1681,1,1
"17031050300","NORTH CENTER",38,5198,2856,1,1
